Dimension of result matrix: 2 * 4
Min time: 0.8 mls for count of threads: 3, 4
Count of threads - 1 Execution time - 1.4 mls
Count of threads - 2 Execution time - 1.1 mls
Count of threads - 3 Execution time - 0.8 mls
Count of threads - 4 Execution time - 0.8 mls
Count of threads - 5 Execution time - 1.1 mls
Count of threads - 6 Execution time - 1.2 mls
Count of threads - 7 Execution time - 1.4 mls
Count of threads - 8 Execution time - 1.9 mls
