Dimension of result matrix: 12 * 17
Min time: 0.9 mls for count of threads: 2
Count of threads - 144 Execution time - 22.7 mls
Count of threads - 145 Execution time - 23.0 mls
Count of threads - 146 Execution time - 23.4 mls
Count of threads - 147 Execution time - 23.1 mls
Count of threads - 148 Execution time - 23.9 mls
Count of threads - 149 Execution time - 23.7 mls
Count of threads - 150 Execution time - 23.3 mls
Count of threads - 151 Execution time - 23.7 mls
Count of threads - 152 Execution time - 24.5 mls
Count of threads - 153 Execution time - 24.5 mls
Count of threads - 154 Execution time - 23.8 mls
Count of threads - 155 Execution time - 25.0 mls
Count of threads - 156 Execution time - 24.7 mls
Count of threads - 157 Execution time - 25.0 mls
Count of threads - 158 Execution time - 24.9 mls
Count of threads - 159 Execution time - 25.8 mls
Count of threads - 160 Execution time - 25.1 mls
Count of threads - 161 Execution time - 25.7 mls
Count of threads - 162 Execution time - 25.9 mls
Count of threads - 163 Execution time - 25.8 mls
Count of threads - 164 Execution time - 25.5 mls
Count of threads - 165 Execution time - 28.0 mls
Count of threads - 166 Execution time - 27.1 mls
Count of threads - 167 Execution time - 27.1 mls
Count of threads - 168 Execution time - 27.3 mls
Count of threads - 169 Execution time - 26.8 mls
Count of threads - 170 Execution time - 27.5 mls
Count of threads - 171 Execution time - 26.8 mls
Count of threads - 172 Execution time - 27.6 mls
Count of threads - 173 Execution time - 26.9 mls
Count of threads - 174 Execution time - 27.9 mls
Count of threads - 175 Execution time - 27.7 mls
Count of threads - 176 Execution time - 28.4 mls
Count of threads - 177 Execution time - 27.8 mls
Count of threads - 178 Execution time - 28.7 mls
Count of threads - 179 Execution time - 27.7 mls
Count of threads - 180 Execution time - 28.8 mls
Count of threads - 181 Execution time - 29.1 mls
Count of threads - 182 Execution time - 29.0 mls
Count of threads - 183 Execution time - 28.7 mls
Count of threads - 184 Execution time - 29.2 mls
Count of threads - 185 Execution time - 29.4 mls
Count of threads - 186 Execution time - 28.9 mls
Count of threads - 187 Execution time - 30.1 mls
Count of threads - 188 Execution time - 29.8 mls
Count of threads - 189 Execution time - 30.4 mls
Count of threads - 190 Execution time - 29.7 mls
Count of threads - 191 Execution time - 30.6 mls
Count of threads - 192 Execution time - 30.3 mls
Count of threads - 193 Execution time - 30.4 mls
Count of threads - 194 Execution time - 31.3 mls
Count of threads - 195 Execution time - 31.3 mls
Count of threads - 196 Execution time - 31.5 mls
Count of threads - 197 Execution time - 31.3 mls
Count of threads - 198 Execution time - 31.9 mls
Count of threads - 199 Execution time - 31.4 mls
Count of threads - 200 Execution time - 31.1 mls
Count of threads - 201 Execution time - 32.0 mls
Count of threads - 202 Execution time - 31.8 mls
Count of threads - 203 Execution time - 32.9 mls
Count of threads - 204 Execution time - 32.2 mls
